[2025-12-10 23:40:57,341][INFO    ][ghost.get_instance_at] Get FUNC: 0x00010328 strcpy(Param1, Param2) <=> pcVar1[4]
[2025-12-10 23:40:57,355][INFO    ][ghost.get_instance_at] Get FUNC: 0x00022010 strcpy(Param1, Param2) <=> StatusCodeReturn
[2025-12-10 23:40:57,367][INFO    ][ghost.get_instance_at] Get FUNC: 0x00010460 FUN_00010460() <=> UnnamedReturn
[2025-12-10 23:40:57,368][DEBUG   ][ghost.get_instance] Get TRACEINFO: ParamToArg [Par:0x00010328 strcpy(Param1, Param2) <=> pcVar1[4] | Param1] --> [Arg:0x000104bc strcpy(local_20[12], local_14[4]) <=> UnnamedOut | local_20[12]]
[2025-12-10 23:40:57,369][DEBUG   ][ghost.get_instance] Get TRACEINFO: ParamToArg [Par:0x00010328 strcpy(Param1, Param2) <=> pcVar1[4] | Param2] --> [Arg:0x000104bc strcpy(local_20[12], local_14[4]) <=> UnnamedOut | local_14[4]]
[2025-12-10 23:40:57,371][INFO    ][ghost.main] Current Trace Queue (len=2):
[2025-12-10 23:40:57,372][INFO    ][ghost.main]   [0] ParamToArg [Par:0x00010328 strcpy(Param1, Param2) <=> pcVar1[4] | Param1] --> [Arg:0x000104bc strcpy(local_20[12], local_14[4]) <=> UnnamedOut | local_20[12]]
[2025-12-10 23:40:57,374][INFO    ][ghost.main]   [1] ParamToArg [Par:0x00010328 strcpy(Param1, Param2) <=> pcVar1[4] | Param2] --> [Arg:0x000104bc strcpy(local_20[12], local_14[4]) <=> UnnamedOut | local_14[4]]
[2025-12-10 23:40:57,374][INFO    ][ghost.main] Begin Tracing ParamToArg [Par:0x00010328 strcpy(Param1, Param2) <=> pcVar1[4] | Param2] --> [Arg:0x000104bc strcpy(local_20[12], local_14[4]) <=> UnnamedOut | local_14[4]]
[2025-12-10 23:40:57,375][DEBUG   ][ghost.trace_source_all] Arg trace_source_all for local_14[4] of 0x000104bc strcpy(local_20[12], local_14[4]) <=> UnnamedOut
[2025-12-10 23:40:57,375][DEBUG   ][ghost.trace_to_func_call_output] Entering loop for getDef to find all corresponding FuncCallOutputs of varnode @ 0x00010490 in local_14[4] of 0x000104bc strcpy(local_20[12], local_14[4]) <=> UnnamedOut
[2025-12-10 23:40:57,377][DEBUG   ][ghost.trace_to_func_call_output] Added varnode 0x00010490 (unique, 0x1000002f, 4) from pcode (register, 0x2c, 4) CAST (unique, 0x1000002f, 4)
[2025-12-10 23:40:57,377][DEBUG   ][ghost.trace_to_func_call_output] Added varnode 0x00010484 (register, 0x20, 4) from pcode (unique, 0x1000002f, 4) INT_ADD (register, 0x20, 4) , (const, 0xb, 4)
[2025-12-10 23:40:57,381][INFO    ][ghost.get_instance_at] Get FUNC: 0x00010358 strtoul(Param1, Param2, Param3) <=> uVar1[4]
[2025-12-10 23:40:57,381][DEBUG   ][ghost.trace_to_func_call_output] Found trace to function call output of 0x00010484 strtoul(local_c[4], UnnamedArg2, UnnamedArg3) <=> local_10[4]. Adding trace.
[2025-12-10 23:40:57,382][DEBUG   ][ghost.get_instance] Get TRACEINFO: VarIsFuncCallOutput [Arg:0x000104bc strcpy(local_20[12], local_14[4]) <=> UnnamedOut | local_14[4]] --> [Out:0x00010484 strtoul(local_c[4], UnnamedArg2, UnnamedArg3) <=> local_10[4] | local_10[4]]
[2025-12-10 23:40:57,382][DEBUG   ][ghost.get_instance] Get TRACEINFO: ArgToOtherArgs [Arg:0x000104bc strcpy(local_20[12], local_14[4]) <=> UnnamedOut | local_14[4]] --> [Arg:0x000104bc strcpy(local_20[12], local_14[4]) <=> UnnamedOut | local_20[12]]
[2025-12-10 23:40:57,382][DEBUG   ][ghost.trace_var_usage] Checking same usages of local_14[4] in 0x00010460 FUN_00010460() <=> UnnamedReturn
[2025-12-10 23:40:57,384][INFO    ][ghost.trace_var_usage] Processing pcode op: (register, 0x20, 4) CALL (ram, 0x10334, 8) , (unique, 0x10000027, 4)
